Sample,collection_method,Lat,Long,Elevation (m),Habitat type,sampling_month
CBAY0001,Malaise trap,69.20079,-104.76914,17,River,June
CBAY0006,Malaise trap,69.20525,-104.78947,7,River,June
CBAY0003,D-ring dipnet (250 micron),69.19431,-104.75409,20,Pond,June
CBAY0002,Plankton net (64 micron),69.19431,-104.75409,20,Pond,June
CBAY0008,D-ring dipnet (250 micron),69.19431,-104.75409,20,Pond,June
CBAY0005,Plankton net (64 micron),69.19431,-104.75409,20,Pond,June
CBAY0010,Plankton net (64 micron),69.11325,-105.08698,22,Pond,June
CBAY0011,D-ring dipnet (250 micron),69.11325,-105.08698,22,Pond,June
CBAY0015,D-ring dipnet (250 micron),69.15263,-104.91357,0,Pond,June
CBAY0012,Plankton net (64 micron),69.15263,-104.91357,0,Pond,June
CBAY0013,D-ring dipnet (250 micron),69.11837,-104.0694,0,Pond,June
CBAY0014,Plankton net (64 micron),69.11837,-104.0694,0,Pond,June
CBAY0021,Surber net,69.204444,-104.773889,10,River,July
CBAY0020,D-ring dipnet (250 micron),69.20555,-104.78194,10,River,July
CBAY0048,Malaise trap,69.20535,-104.77646,10,Terrestrial,July
CBAY0043,Malaise trap,69.12861,-104.98722,10,Terrestrial,July
CBAY0030,Surber net,69.132438,-104.988833,8,River,July
CBAY0028,Sweep net,69.132231,-104.988717,8,Terrestrial,July
CBAY0029,D-ring dipnet (250 micron),69.132486,-104.988703,9,River,July
CBAY0027,Malaise trap,69.132477,-104.988683,24,Terrestrial,August
CBAY 0022,Sweep net,69.132477,-104.988683,24,Terrestrial,July
CBAY0037,D-ring dipnet (250 micron),69.158318,-105.180284,24,River,July
CBAY0036,Sweep net,69.132925,-105.461572,24,Terrestrial,July
CBAY 0025,Malaise trap,69.158448,-105.190938,8,Terrestrial,July
CBAY0026,D-ring dipnet (250 micron),69.12595,-105.070236,20,River,July
CBAY0039,Sweep net,69.130466,-104.996363,5,Terrestrial,July
CBAY0040,Sweep net,69.120943,-105.042616,,Terrestrial,July
CBAY0033,Sweep net,69.134216,-104.989923,13,Terrestrial,July
CBAY0032,Sweep net,69.11926,-105.127426,24,Terrestrial,July
CBAY0017,Surber net,,,0,River,June
CBAY0019,Surber net,,,0,River,June
CBAY0038,Surber net,69.119246,-105.127423,0,River,July
CBAY0056,Malaise trap,69.13281,-105.4632,12,Terrestrial,July
CBAY0047,Sweep net,69.133033,-105.462978,12,Terrestrial,July
CBAY0049,D-ring dipnet (250 micron),69.13244,-105.413377,12,River,July
CBAY0024,D-ring dipnet (250 micron),69.121001,-105.437764,77,Pond,July
CBAY0031,Plankton net (64 micron),69.121001,-105.437764,77,Pond,July
CBAY0050,Sweep net,69.158205,-105.190377,15,Terrestrial,August
CBAY0044,Sweep net,69.167666,-105.195481,32,Terrestrial,August
CBAY0041,Sweep net,69.147755,-105.1927579,36,Terrestrial,August
CBAY0046,Sweep net,69.119312,-105.127489,22,Terrestrial,August
CBAY0054,Sweep net,69.152192,-104.913481,20,Terrestrial,August
CBAY0059,Plankton net (64 micron),69.153455,-104.913307,20,River,August
CBAY0023,D-ring dipnet (250 micron),69.153455,-104.913307,20,River,August
CBAY0055,Sweep net,69.14212,-104.947332,18,River,August
CBAY0060,Sweep net,69.132277,-104.988613,11,River,August
CBAY0035,Sweep net,69.128939,-104.994109,6,River,August
CBAY0069,Sweep net,69.090294,-105.225557,,Terrestrial,August
CBAY0061,Sweep net,69.092068,-105.2498,6,Terrestrial,August
CBAY0067,Sweep net,69.096233,-105.274031,19,Terrestrial,August
CBAY0068,Sweep net,69.099735,-105.227898,5,Terrestrial,August
CBAY0073,Sweep net,69.20527778,-104.7755556,10,River,August
CBAY0042,Malaise trap,69.20535,-104.77646,10,River,August
CBAY0072,Sweep net,69.17888889,-104.8227778,10,Terrestrial,August
CBAY0071,Sweep net,69.14305556,-104.9475,20,River,August
CBAY0062,Sweep net,69.12861111,-104.9897222,0,River,August
CBAY0066,Sweep net,69.11194444,-104.9858333,10,Terrestrial,August
CBAY0034,Malaise trap,69.128611,-104.987222,,River,August
CBAY0065,Sweep net,69.121222,-105.045298,5,River,August
CBAY0070,Sweep net,69.119088,-105.27378,20,River,August
CBAY0078,Sweep net,69.132886,-105.463173,13,River,August
CBAY0052,Malaise trap,69.132477,-104.988683,,River,August
CBAY0045,Malaise trap,69.13281,-105.4632,,River,August
CBAY0051,Malaise trap,69.158448,-105.19093,8,River,August
