SampleID	ExactSitedew line rd	ExactSitefreshwater river	ExactSiteGrenier lake	ExactSitelong pt creek	ExactSitegravel pit	ExactSite4 mile bay	ExactSitebehind town	ExactSiteother side of heart lake	ExactSitetrail to 4 mile
KBIMP_002_E12	0	0	0	1	0	0	0	0	0
KBIMP_002_F2	0	0	0	1	0	0	0	0	0
KBIMP_002_F4	0	0	0	1	0	0	0	0	0
KBIMP_002_F5	0	0	0	1	0	0	0	0	0
KBIMP_002_G1	0	1	0	0	0	0	0	0	0
KBIMP_002_G3	0	0	1	0	0	0	0	0	0
KBIMP_002_G5	0	0	1	0	0	0	0	0	0
KBIMP_002_G6	0	0	1	0	0	0	0	0	0
KBIMP_002_G8	0	0	1	0	0	0	0	0	0
KBIMP_002_H8	0	1	0	0	0	0	0	0	0
KBIMP_002_H9	0	1	0	0	0	0	0	0	0
KBIMP_002_H10	0	1	0	0	0	0	0	0	0
KBIMP_003_A1	0	1	0	0	0	0	0	0	0
KBIMP_003_A3	0	1	0	0	0	0	0	0	0
KBIMP_003_A5	0	1	0	0	0	0	0	0	0
KBIMP_003_A11	1	0	0	0	0	0	0	0	0
KBIMP_003_A12	0	0	0	1	0	0	0	0	0
KBIMP_003_B1	0	0	0	1	0	0	0	0	0
KBIMP_003_B2	0	0	0	1	0	0	0	0	0
KBIMP_003_B3	0	0	0	1	0	0	0	0	0
KBIMP_003_B4	0	0	0	1	0	0	0	0	0
KBIMP_003_B5	0	0	0	1	0	0	0	0	0
KBIMP_003_B6	0	0	0	1	0	0	0	0	0
KBIMP_003_B7	0	0	0	1	0	0	0	0	0
KBIMP_003_B8	0	0	0	1	0	0	0	0	0
KBIMP_003_B9	0	0	0	1	0	0	0	0	0
KBIMP_003_C1	0	1	0	0	0	0	0	0	0
KBIMP_003_D6	0	0	0	1	0	0	0	0	0
KBIMP_003_D7	0	0	0	1	0	0	0	0	0
KBIMP_003_D10	0	0	0	1	0	0	0	0	0
KBIMP_003_D11	0	0	0	1	0	0	0	0	0
KBIMP_003_E2	0	0	0	1	0	0	0	0	0
KBIMP_003_F4	1	0	0	0	0	0	0	0	0
KBIMP_003_G5	0	0	0	0	1	0	0	0	0
KBIMP_003_H6	0	0	0	1	0	0	0	0	0
KBIMP_003_H7	0	0	0	1	0	0	0	0	0
KBIMP_003_H8	0	0	0	1	0	0	0	0	0
KBIMP_003_H9	0	0	0	1	0	0	0	0	0
KBIMP_003_H10	0	0	0	1	0	0	0	0	0
