SampleID	ExactSitedew line rd	ExactSitefreshwater river	ExactSiteGrenier lake	ExactSitelong pt creek	ExactSitetrail to 4 mile
KBIMP002F3	0	0	0	1	0
KBIMP002F8	0	0	0	1	0
KBIMP002F9	0	0	0	1	0
KBIMP002F10	0	1	0	0	0
KBIMP002F12	0	1	0	0	0
KBIMP002G2	0	0	1	0	0
KBIMP002H11	0	1	0	0	0
KBIMP003A2	0	1	0	0	0
KBIMP003A4	0	1	0	0	0
KBIMP003C2	0	1	0	0	0
KBIMP003C4	0	1	0	0	0
KBIMP003D5	0	0	0	1	0
KBIMP003D8	0	0	0	1	0
KBIMP003D9	0	0	0	1	0
KBIMP003D12	0	0	0	1	0
KBIMP003E1	0	0	0	1	0
KBIMP003F3	1	0	0	0	0
KBIMP004A11	0	0	0	1	0
KBIMP004A12	0	0	0	1	0
KBIMP004B1	0	0	0	1	0
KBIMP004B2	0	0	0	1	0
KBIMP004B6	0	0	0	1	0
KBIMP004B7	0	0	0	1	0
KBIMP004D5	1	0	0	0	0
KBIMP004D6	1	0	0	0	0
KBIMP004D7	1	0	0	0	0
KBIMP004D9	1	0	0	0	0
KBIMP004D10	1	0	0	0	0
KBIMP004D11	1	0	0	0	0
KBIMP004D12	1	0	0	0	0
KBIMP004E1	1	0	0	0	0
KBIMP004F3	0	1	0	0	0
KBIMP004F4	0	1	0	0	0
KBIMP004F5	0	1	0	0	0
KBIMP004G3	0	1	0	0	0
KBIMP004G4	0	1	0	0	0
KBIMP004G5	0	1	0	0	0
KBIMP004G6	0	1	0	0	0
KBIMP004G8	0	1	0	0	0
KBIMP004G10	0	1	0	0	0
KBIMP004G11	0	1	0	0	0
KBIMP005A11	1	0	0	0	0
KBIMP005B1	1	0	0	0	0
KBIMP005C3	0	1	0	0	0
KBIMP005C10	0	1	0	0	0
KBIMP005D4	0	1	0	0	0
KBIMP005D7	0	1	0	0	0
KBIMP005F6	0	0	1	0	0
KBIMP005G12	1	0	0	0	0
KBIMP006B4	0	1	0	0	0
KBIMP006B5	0	1	0	0	0
KBIMP006B7	0	1	0	0	0
KBIMP006E7	1	0	0	0	0
KBIMP006E8	1	0	0	0	0
KBIMP006E9	1	0	0	0	0
KBIMP006E10	1	0	0	0	0
KBIMP006E11	1	0	0	0	0
KBIMP006F1	1	0	0	0	0
KBIMP006G1	0	1	0	0	0
KBIMP007B8	0	0	0	0	1
