SampleID,Collectors,Collection Date,Country/Ocean,State/Province,Region,Sector,ExactSite,Lat,Lon,Elev,Depth,Elevation Precision,Depth Precision,GPS Source,Coordinate Accuracy,Event Time,Collection Date Accuracy,Habitat,SamplingProtocol,Collection Notes,Site Code,FieldID
KBIMP_01_A1,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_A2,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_A3,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_A4,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_A5,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_A6,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_A7,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_A8,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_A9,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_A10,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_A11,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_A12,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_B1,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
