Sample,Site,blackfly_abun,mosquito_abun,Lat,Long
CBAY0001,River between first lake and grenier lake,0,0,69.20079,-104.76914
CBAY0006,River between first lake and grenier lake,1,0,69.20525,-104.78947
CBAY0003,Pond near first lake,0,0,69.19431,-104.75409
CBAY0002,Pond near first lake,,,69.19431,-104.75409
CBAY0008,Pond near first lake,0,0,69.19431,-104.75409
CBAY0005,Pond near first lake,,,69.19431,-104.75409
CBAY0010,Airport road pond,,,69.11325,-105.08698
CBAY0011,Airport road pond,0,0,69.11325,-105.08698
CBAY0015,Pelly road,0,0,69.15263,-104.91357
CBAY0012,Pelly road,,,69.15263,-104.91357
CBAY0013,Kuugaq pond,0,0,69.11837,-104.0694
CBAY0014,Kuugaq pond,,,69.11837,-104.0694
CBAY0021,Between 1st lake and grenier,1,0,69.204444,-104.773889
CBAY0020,Between 1st lake and grenier,651,0,69.20555,-104.78194
CBAY0048,Between 1st lake and grenier,1228,1,69.20535,-104.77646
CBAY0043,Stream south of Pelly Road,275,31,69.12861,-104.98722
CBAY0030,Freshwater river by picnic area,171,0,69.132438,-104.988833
CBAY0028,Freshwater river by picnic area,0,0,69.132231,-104.988717
CBAY0029,Freshwater river by picnic area,35,0,69.132486,-104.988703
CBAY0027,Dew Line Rd,333,14,69.132477,-104.988683
CBAY 0022,Dew Line Rd,41,0,69.132477,-104.988683
CBAY0037,Stream Dew Line Rd,126,,69.158318,-105.180284
CBAY0036,"1st creek/the 
ravine",6,19,69.132925,-105.461572
CBAY 0025,,1,15,69.158448,-105.190938
CBAY0026,Freshwater river,253,0,69.12595,-105.070236
CBAY0039,Freshwater river,5,22,69.130466,-104.996363
CBAY0040,Freshwater river,17,63,69.120943,-105.042616
CBAY0033,Inland area,1,31,69.134216,-104.989923
CBAY0032,DEW Line Road,254,13,69.11926,-105.127426
CBAY0017,Kitigak river,13,0,,
CBAY0019,Kitigak river,0,0,,
CBAY0038,"Creek south of 
Pelly Road 
by swimming 
hole",95,0,69.119246,-105.127423
CBAY0056,First creek,0,23,69.13281,-105.4632
CBAY0047,First creek,1,0,69.133033,-105.462978
CBAY0049,First creek,0,0,69.13244,-105.413377
CBAY0024,Augustus Hills,0,0,69.121001,-105.437764
CBAY0031,Augustus Hills,0,0,69.121001,-105.437764
CBAY0050,DEW Line Road,56,1,69.158205,-105.190377
CBAY0044,DEW Line Road,0,0,69.167666,-105.195481
CBAY0041,DEW Line Road,0,1,69.147755,-105.1927579
CBAY0046,DEW Line Road,53,0,69.119312,-105.127489
CBAY0054,Pelly Road,0,0,69.152192,-104.913481
CBAY0059,Pelly Road,0,0,69.153455,-104.913307
CBAY0023,Pelly Road,0,0,69.153455,-104.913307
CBAY0055,Pelly Road,2233,2,69.14212,-104.947332
CBAY0060,Freshwater river,3,11,69.132277,-104.988613
CBAY0035,"Swimming hole 
South of Pelly
Road",46,14,69.128939,-104.994109
CBAY0069,"Gravel pit/
west arm",1,1,69.090294,-105.225557
CBAY0061,"Gravel pit/
west arm",0,0,69.092068,-105.2498
CBAY0067,Gravel pit,1,0,69.096233,-105.274031
CBAY0068,West arm,0,2,69.099735,-105.227898
CBAY0073,"Between 1st
lake and 
Grenier",164,0,69.20527778,-104.7755556
CBAY0042,"Between 1st
lake and 
Grenier","13,639",,69.20535,-104.77646
CBAY0072,"2nd Culvert
Pelly Road",0,5,69.17888889,-104.8227778
CBAY0071,"Freshwater river 
Pelly Road",2373,0,69.14305556,-104.9475
CBAY0062,"Creek south of 
Pelly Road 
by swimming 
hole",2,3,69.12861111,-104.9897222
CBAY0066,Past old town,0,4,69.11194444,-104.9858333
CBAY0034,"Creek South of 
Pelly Road","2375
",29,69.128611,-104.987222
CBAY0065,"DEW Line Road
Freshwater 
creek",70,0,69.121222,-105.045298
CBAY0070,"Near DEW Line
station
near seasonal
creek",2,1,69.119088,-105.27378
CBAY0078,"1st creek near
ravine",3,12,69.132886,-105.463173
CBAY0052,DEW Line Road,1337,9,69.132477,-104.988683
CBAY0045,1st creek,22,6,69.13281,-105.4632
CBAY0051,"Creek by long 
point beach",10,5,69.158448,-105.19093
