Sample,Site,Sample Replicate,Date set,Date collected,Collector,Sample type collection method,Lat,Lon,Elevation (m),Habitat type,Sample current location,Distance from water (m),HOBO tracker #,HOBO deployment date ,HOBO deployment time ,Temp C (Sweep),Relative Humidity (Sweep),DEWpt degrees C (sweep) ,Collection time period,Perservative,Notes,SHIPPING INFO,OWNER,Mosquito Head Abundance,Blackfly Head Abundance,Mosquito body count,Blackfly body count,When sorted,Mosquito head code,Blackfly head code,Mosquito body code,Blackfly body code,,,,,,,,
CBAY0075,River at Swimming hole ,Sample 1,N/A,04-Aug-25,S. Dworatzek,Sweep net,69.1293,-104.99179,6,Lotic,Mail,0-5,22332997,04-Aug-25,13:27,22.41,51.78,12.02,5 mins,30 ml of 100% ETOH,"Quite windy and sunny;
Bushes fairly small but continuous",Box 1,Guelph,0,500,0,503,never sorted in 96-well plate,NA,CBAY0075_BF_H,NA,CBAY0075_BF_B,,,,,number of samples left to do ,# of samples done,# of samples we may not do ,# of sample left without bad samples 
CBAY0079,Greiner Lake Inlet,Sample 1,N/A,04-Aug-25,L. Chan,Sweep net,69.17868,-104.82275,5,Lotic,Mail,0-5,22332997,04-Aug-25,10:50,19.93,55.7,10.89,5 mins,30 ml of 100% ETOH,"Samples taken in the same place as last time;
Sunny and not very windy when sweeping;
Bushes small and fragmented, small river going into Greiner, ground very wet",Box 1,Guelph,3,65,3,66,never sorted in 96-well plate,CBAY0079_M_H,CBAY0079_BF_H,CBAY0079_M_B,CBAY0079_BF_B,,,,,12,169,14,-2
CBAY0084,In front of College ,Sample 1,N/A,04-Aug-25,L. Chan,Sweep net,69.12257,-105.05666,15,Lentic,Mail,0-5,22332997,04-Aug-25,17:15,18.37,59.53,10.36,5 mins,30 ml of 100% ETOH,"Tall green grass with some wild cotton;
Grasses mostly growing next to a small pond but some growing inside the pond",Box 1,Guelph,3,14,3,14,previously sorted into 96 well plates ,CBAY0084_M_H,CBAY0084_BF_H,CBAY0084_M_B,CBAY0084_BF_B,,,,,,,,
CBAY0091,Dew line Road 1,Sample 1,N/A,01-Aug-25,L. Chan,Sweep net,69.13698,-105.17181,25,Lentic,Mail,15-25,22332997,01-Aug-25,15:32,17.67,50.76,7.33,5 mins,30 ml of 100% ETOH,"The coordinnates taken last time was very inaccurate
Same distance as last time (July 28);
Wet ground, small bushes but more continuous",Box 1,Guelph,4,0,4,0,never sorted in 96-well plate,CBAY0091_M_H,,CBAY0091_M_B,,,,,,11133,,,
CBAY0092,First Creek,Opportunistic ,N/A,01-Aug-25,L. Chan,"Taking mosquitoes off 
people with aspirator",69.13284,-105.463245,-5,Lotic,Mail,N/A,22332997,01-Aug-25,13:43,15.43,56.77,6.91,N/A,30 ml of 100% ETOH,"Sunny, not too windy;
Original coordinates were incorrect. Changed to the coordinates taken in the same place on July 22",Box 1,Guelph,139,2,140,2,never sorted in 96-well plate,CBAY0092_M_H,CBAY0092_BF_H,CBAY0092_M_B,CBAY0092_BF_B,,,,,,,,
CBAY0095,Sewage-Dump,Week 2,26-Jul-25,02-Aug-25,"S. Dworatzek, L. Chan",Malaise trap,69.127081,-105.026465,11,Lentic,Mail,2.01,22332999,July 19 2025,16:22,,,,1 Week,"400 ml of 60% Propylene Glycol 
(600 ml prop, 400 ml DI H20, 5 ml Dish soap
- prepared July 19th 2025), 
then ethanol apon collection","Next to the sewage lagoon and behind the dump,
lots of garbage at site,
lots of birds at site (sand pipers, gulls, geese, ducks, 
phalaropes, Buntings, Sand Hill Cranes), 
Many sand pipers more than other areas which is an indicator of invertebrates their main diet, 
(way point #61)",Box 2,Guelph,7,2,7,2,previously sorted into 96 well plates ,CBAY0095_M_H,CBAY0095_BF_H,CBAY0095_M_B,CBAY0095_BF_B,,,,,,,,
CBAY0096,Airport Road 2,Week 1,20-Jul-25,27-Jul-25,"S. Dworatzek, D. Nowosad, L. Chan, J. Bernhardt, T. McIlwraith, L. Jackson",Malaise Trap,69.11678,-105.088061,11,Lentic,Mail,2.01,22332988,20-Jul-25,12:00,,,,1 Week,"400 ml of 60% Propylene Glycol 
(600 ml prop, 400 ml DI H20, 5 ml Dish soap
- prepared July 19th 2025), 
then ethanol apon collection","Pond without flow input and sandy/rocky bottom, ground surounding pond rocky,
some large puddles but rest of ground relativly dry, wind direction to back of trap, 
lots of bird poops nearby,
had to secure trap woth two addtional metal wires at the back, 
had to secure leads at back to metal wire with paracord, 
very windy on set up date (July 20, 2025);
(way point #64); Original coordinates were incorrect. Changed to the coordinates taken in the same place on July 25","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,1,0,0,0,previously sorted into 96 well plates ,CBAY0096_M_H,N/A,N/A,N/A,,,,,,,,
CBAY0097,Construction Shop,Week 1,19-Jul-25,26-Jul-25,"S. Dworatzek, D. Nowosad, L. Chan, J. Bernhardt",Malaise trap,69.126256,-105.037837,7,Lentic,Mail,5.79,22165546,19-Jul-25,17:30,,,,1 Week,"400 ml of 60% Propylene Glycol 
(600 ml prop, 400 ml DI H20, 5 ml Dish soap
- prepared July 19th 2025), 
then ethanol apon collection","This site is located behind a construction shop; 
Swampy ground with many puddles; 
Very windy on set up date (July 19 2025)
(way point #62);
Collected @ 11:47, new bottle CBAY0106","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,2,0,1,0,previously sorted into 96 well plates ,CBAY0097_M_H,N/A,CBAY0097_M_B,N/A,,,,,,,,
CBAY0098,Behind College,Sample 1,N/A,04-Aug-25,L. Chan,Sweep net,69.1235,-105.06234,19,Lentic,Mail,0-5,22332997,04-Aug-25,18:15,19.07,62.57,11.82,5 mins,30 ml of 100% ETOH,"Mostly small to medium bushes with tall grasses when bushes were fragmented, ground dry",Box 1,Guelph,8,7,8,8,never sorted in 96-well plate,CBAY0098_M_H,CBAY0098_BF_H,CBAY0098_M_B,CBAY0098_BF_B,,,,,,,,
CBAY0099,Airport Road 2,Week 2,27-Jul-25,03-Aug-25,"L. Chan, 
S.Dworatzek",Malaise Trap,69.11678,-105.088061,11,Lentic,Mail,2.01,22332988,20-Jul-25,12:00,,,,1 Week,"400 ml of 60% Propylene Glycol 
(600 ml prop, 400 ml DI H20, 5 ml Dish soap
- prepared July 19th 2025), 
then ethanol apon collection","Pond without flow input and sandy/rocky bottom, ground surounding pond rocky,
some large puddles but rest of ground relativly dry, wind direction to back of trap, 
lots of bird poops nearby,
had to secure trap woth two addtional metal wires at the back, 
had to secure leads at back to metal wire with paracord, 
very windy on set up date (July 20, 2025) and date that the trap was taken down (Aug 3, 2025)
(way point #64); Original coordinates were incorrect. Changed to the coordinates taken in the same place on July 25
HOBO wasn't logging :(((",Box 3,Guelph,14,6,14,6,previously sorted into 96 well plates ,CBAY0099_M_H,CBAY0099_BF_H,CBAY0099_M_B,CBAY0099_BF_B,,,,,,,,
CBAY0100,In front of College ,Sample 2,N/A,04-Aug-25,S. Dworatzek,Sweep net,69.12257,-105.05666,15,Lentic,Mail,0-5,22332997,04-Aug-25,17:15,18.37,59.53,10.36,5 mins,30 ml of 100% ETOH,"Tall green grass with some wild cotton, gorwing mostly next to small pond but some inside of pond, sunny and still a little windy",Box 1,Guelph,6,3,7,3,never sorted in 96-well plate,CBAY0100_M_H,CBAY0100_BF_H,CBAY0100_M_B,CBAY0100_BF_H,,,,,,,,
CBAY0101,Sewage-Dump,Week 1,19-Jul-25,26-Jul-25,"S. Dworatzek, D. Nowosad, L. Chan, J. Bernhardt",Malaise trap,69.127081,-105.026165,11,Lentic,Mail,2.01,22332999,July 19 2025,16:22,,,,1 Week,"400 ml of 60% Propylene Glycol 
(600 ml prop, 400 ml DI H20, 5 ml Dish soap
- prepared July 19th 2025), 
then ethanol apon collection","Next to the sewage lagoon and behind the dump,
lots of garbage at site,
lots of birds at site (sand pipers, gulls, geese, ducks, 
phalaropes, Buntings, Sand Hill Cranes), 
Many sand pipers more than other areas which is an indicator of invertebrates their main diet, 
(way point #61);
Collected @ 10:30, new bottle is CBAY0095","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,0,0,0,0,,,,,,,,,,,,,
CBAY0102,West Arm Beach,Sample 2,N/A,05-Aug-25,S. Dworatzek,Sweep net,69.09205,-105.25403,3,Terrestrial,Mail,N/A,22332997,05-Aug-25,11:19,15.15,62.71,8.13,5 mins,30 ml of 100% ETOH,"Samples taken in the same place as last time;
Partially cloudy with some lighy breezes. Wind died down compared to how it was around 10am;
Medium grass with some small bushes;
The ground is much drier this time but some places still have small puddles",Box 2,Guelph,2,0,2,0,previously sorted into 96 well plates ,CBAY0102_M_H,N/A,CBAY0102_M_B,N/A,,,,,,,,
CBAY0103,Airport Road 1,Week 1,20-Jul-25,27-Jul-25,"S. Dworatzek, D. Nowosad, L. Chan, J. Bernhardt, T. McIlwraith, L. Jackson",Malaise trap,69.117397,-105.081726,5,Lentic,Mail,3,22332989,20-Jul-25,11:12,,,,1 Week,"400 ml of 60% Propylene Glycol 
(600 ml prop, 400 ml DI H20, 5 ml Dish soap
- prepared July 19th 2025), 
then ethanol apon collection","On the outskirts of Town;
Swampy and soft ground surrounded by a river and a pond;
not many birds around compared to sewage dump and construction shop sites;
Very windy on set up date (July 20, 2025)
(way point #63); Original coordinates were incorrect. Changed to the coordinates taken in the same place on July 25","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821826283""",Guelph,1,4,1,4,previously sorted into 96 well plates ,CBAY0103_M_H,CBAY0103_BF_H,CBAY0103_M_B,CBAY0103_BF_B,,,,,,,,
CBAY0104,Airport Road 1,Week 2,27-Jul-25,03-Aug-25,"L. Chan, 
S.Dworatzek",Malaise Trap,69.117397,-105.081726,5,Lentic,Mail,3,22332989,20-Jul-25,11:12,,,,1 week,"400 ml of 60% Propylene Glycol 
(600 ml prop, 400 ml DI H20, 5 ml Dish soap
- prepared July 19th 2025), 
then ethanol apon collection","On the outskirts of Town;
Swampy and soft ground surrounded by a river and a pond;
not many birds around compared to sewage dump and construction shop sites;
Very windy on set up date (July 20, 2025) and date that the trap was taken down (Aug 3, 2025)
(way point #63); Original coordinates were incorrect. Changed to the coordinates taken in the same place on July 25",Box 3,Guelph,4,14,4,14,previously sorted into 96 well plates ,CBAY0104_M_H,CBAY0104_BF_H,CBAY0104_M_B,CBAY0104_BF_B,,,,,,,,
CBAY0105,First Creek,Sample 2,N/A,22-Jul-25,L. Chan,Sweep net,69.13284,-105.463245,-5,Lotic,Mail,11,22332997,22-Jul-25,N/A,9.25,65.52,N/A,3 mins,75 ml of 100% ETOH,"Rocky, area protected by a high bluff, shallow creek with a few large erratics, creek is audibly moving;
damp soil on creek edge with pools around, grasses on far side;
light breeze and overcast on the date of collection;
Near small pond 11 m from the creek on transect, have some bushes but not overly bushy;
In SD's fieldbook this sample was CBAY0139, but the sample was actually placed in a bottle labeled CBAY0105","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,,,,,,,,,,,,,,,,,
CBAY0106,Construction Shop,Week 2,26-Jul-25,02-Aug-25,"S. Dworatzek, L. Chan",Malaise trap,69.126256,-105.037837,7,Lentic,Mail,5.79,22165546,19-Jul-25,17:30,,,,1 Week,"400 ml of 60% Propylene Glycol 
(600 ml prop, 400 ml DI H20, 5 ml Dish soap
- prepared July 19th 2025), 
then ethanol apon collection","This site is located behind a construction shop; 
Swampy ground with many puddles; 
Very windy on set up date (July 19 2025)
(way point #62)",Box 2,Guelph,7,4,7,4,Sorted into 96-well plates first ,CBAY_0106_M_H,CBAY_0106_BF_H,CBAY_0106_M_B,CBAY_0106_BF_B,,,,,,,,
