SampleID,Collectors,CollectionWeek,Country/Ocean,State/Province,Region,Sector,Site,Lat,Lon,Elev,Depth,Elevation Precision,Depth Precision,GPS Source,Coordinate Accuracy,Event Time,Collection Date Accuracy,Habitat,SamplingProtocol,Collection Notes,Site Code,FieldID,Collection Date
KBIMP_01_F10,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_01_F11,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_01_F12,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_01_G2,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_01_G3,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_01_G4,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_01_G5,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_01_G6,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_01_G7,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_01_G8,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_01_G9,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_01_G10,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_01_G11,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_01_G12,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_01_H1,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020,July 21 2024
KBIMP_002_B1,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Between 1st lake and grenier,69.204444,-104.773889,,,,,,,,,,Surber net,,,CBAY0021,July 21 2024
KBIMP_01_H2,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029,July 24 2024
KBIMP_01_H3,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029,July 24 2024
KBIMP_01_H4,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029,July 24 2024
KBIMP_01_H5,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029,July 24 2024
KBIMP_01_H6,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029,July 24 2024
KBIMP_01_H7,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029,July 24 2024
KBIMP_01_H8,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029,July 24 2024
KBIMP_01_H9,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029,July 24 2024
KBIMP_01_H10,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029,July 24 2024
KBIMP_01_H11,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029,July 24 2024
KBIMP_002_A12,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030,July 24 2024
KBIMP_002_B2,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030,July 24 2024
KBIMP_002_B3,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030,July 24 2024
KBIMP_002_B4,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030,July 24 2024
KBIMP_002_B5,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030,July 24 2024
KBIMP_002_B6,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030,July 24 2024
KBIMP_002_B7,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030,July 24 2024
KBIMP_002_B8,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030,July 24 2024
KBIMP_002_B9,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030,July 24 2024
KBIMP_002_B10,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030,July 24 2024
KBIMP_002_B11,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030,July 24 2024
KBIMP_002_F10,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132231,-104.988717,,,,,,,,,,Sweep net,,,CBAY0028,July 24 2024
KBIMP_002_F11,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river by picnic area ,69.132231,-104.988717,,,,,,,,,,Sweep net,,,CBAY0028,July 24 2024
KBIMP_004_G3,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
