FieldID,ExactSite,Lat,Long,Elevation (m),SamplingMethod
CBAY0001,Iqaluktuuttiaq Lake Region,69.20079,-104.76914,17,Malaise trap
CBAY0002,Iqaluktuuttiaq Lake Region ,69.19431,-104.75409,20,Plankton net (64 micron)
CBAY0003,Iqaluktuuttiaq Lake Region ,69.19431,-104.75409,20,D-ring dipnet (250 micron)
CBAY0005,Iqaluktuuttiaq Lake Region ,69.19431,-104.75409,20,Plankton net (64 micron)
CBAY0006,Iqaluktuuttiaq Lake Region,69.20525,-104.78947,7,Malaise trap
CBAY0008,Iqaluktuuttiaq Lake Region ,69.19431,-104.75409,20,D-ring dipnet (250 micron)
CBAY0010,DEW line Rd,69.11325,-105.08698,22,Plankton net (64 micron)
CBAY0011,DEW line Rd,69.11325,-105.08698,22,D-ring dipnet (250 micron)
CBAY0012,Uvayuk Road,69.15263,-104.91357,,Plankton net (64 micron)
CBAY0015,Uvayuk Road,69.15263,-104.91357,,D-ring dipnet (250 micron)
CBAY0020,Iqaluktuuttiaq Lake Region,69.20555,-104.78194,10,D-ring dipnet (250 micron)
CBAY0021,Iqaluktuuttiaq Lake Region,69.204444,-104.773889,10,Surber net
CBAY0022,DEW line Rd,69.11325,-105.08698,,Sweep net
CBAY0023,Uvayuk Road ,69.153455,-104.913307,20,D-ring dipnet (250 micron)
CBAY0024,Tikiraryuaq,69.121001,-105.437764,77,D-ring dipnet (250 micron)
CBAY0025,Kangiqhuk,69.096233,-105.274031,,Malaise trap
CBAY0026,Swimming Hole,69.12595,-105.070236,20,D-ring dipnet (250 micron)
CBAY0027,DEW line Rd,69.132477,-104.988683,24,Malaise trap
CBAY0028,Swimming Hole,69.132231,-104.988717,8,Sweep net
CBAY0029,Swimming Hole,69.132486,-104.988703,9,D-ring dipnet (250 micron)
CBAY0030,Swimming Hole,69.132438,-104.988833,8,Surber net
CBAY0031,Tikiraryuaq,69.121001,-105.437764,77,Plankton net (64 micron)
CBAY0032,DEW line Rd,69.11926,-105.127426,24,Sweep net
CBAY0033,Swimming Hole,69.134216,-104.989923,13,Sweep net
CBAY0034,Swimming Hole,69.128611,-104.987222, ,Malaise trap
CBAY0035,Swimming Hole,69.128939,-104.994109,6,Sweep net
CBAY0036,Tikiraryuaq,69.132925,-105.461572,24,Sweep net
CBAY0037,DEW line Rd,69.158318,-105.180284,24,D-ring dipnet (250 micron)
CBAY0038,Swimming Hole,69.119246,-105.127423,,Surber net
CBAY0039,Swimming Hole,69.130466,-104.996363,5,Sweep net
CBAY0040,Swimming Hole,69.120943,-105.042616,,Sweep net
CBAY0041,DEW line Rd,69.147755,-105.1927579,36,Sweep net
CBAY0042,Iqaluktuuttiaq Lake Region,69.20535,-104.77646,10,Malaise trap
CBAY0043,Swimming Hole,69.12861,-104.98722,10,Malaise trap
CBAY0044,DEW line Rd,69.167666,-105.195481,32,Sweep net
CBAY0045,Tikiraryuaq,69.13281,-105.4632,,Malaise trap
