Sample,Date set,Date collected,Collector,Site,Sample type collection method,Lat,Lon,Elevation (m),Habitat type,Sample current location,Notes,SHIPPING INFO,Specimen Count,OWNER,Mosquito Head Abundance,Blackfly Head Abundance,Mosquito body count,Blackfly body count,Mosquito head code,Blackfly head code,Mosquito body code,Blackfly body code,,
KGLTK,02-Jul-25,02-Jul-25,Beau Taptuna,HTO Office,sweep net,67 48. 6334,115 07. 4677,0 m,Terrestrial,In transit,The smallest sample bottle,"Shipped Canada Post July 3, 0690368306236299",,KAA,,,,,,,,,,
KGLTK,02-Jul,,beau,outside hto,sweep net,67 48 6334,115 07 4677,0m,,,,,,,,,,,,,,,,
KGLTK0012,25-Aug-25,,derek beau,by first hill,sweep net,67 49. 0244,115 06. 8230,23m,,,BEHIND TOWN,,,,0,17,0,17,N/A,KGLTK0012_BF_H,N/A,KGLTK0012_BF_B,,534
KGLTK0050,20-Jun-25,20-Jun-25,"Beau T, Jeff Nip",Barge Dock,sweep net,67 49. 5194,115 07. 5161,20 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236289",,KAA,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0050,June 20 2025,27-Jun-25,beau jeff,4 mile bay,malaise trap,67 49.4194,115 08 6953,6m,,,,,,,,,,,,,,,,
KGLTK0051,10-Jun-25,17-Jun-25,Beau Taptuna,Behind Town,Malaise Trap,67 49.3966,115 09.0339,0 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236286",,KAA,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0052,10-Jun-25,17-Jun-25,Beau Taptuna,4 Mile trail,Malaise Trap,67 49. 3964,115 08 7371,20 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236287",,KAA,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0053,10-Jun-25,17-Jun-25,"Beau, Darlene",Heart Lake,malaise trap,67 48. 1331,115 13. 4735,27 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236302",,KAA,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0055,17-Jun-25,17-Jun-25,Jeff Nip,,sweep net,67 48. 1328,115 13. 4810,0 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236303",,KAA,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0056,10-Jun-25,10-Jun-25,"Beau. T, DArlene. H",By water plant,Sweep Net,67 49. 3181,115 05. 3987,34 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236288",,KAA,8,0,8,0,KGLTK0056_M_H,N/A,KGLTK0056_M_B,N/A,,
KGLTK0059,17-Jun-25,17-Jun-25,Jeff Nip,Behind town,sweep net,67 48. 6317,115 07. 4669,0 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236300",,KAA,4,0,4,0,KGLTK0059_M_H,N/A,KGLTK0059_M_B,N/A,,
KGLTK0060,18-Jun-25,20-Jun-25,Beau Taptuna,4 Mile Trail,malaise trap,67 49. 4080,115 08. 7683,14 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236304",,KAA,7,0,7,0,KGLTK0060_M_H,N/A,KGLTK0060_M_B,N/A,,
KGLTK0061,17-Jun-25,17-Jun-25,Jeff Nip,4 Mile Bay trail,sweep net,67 49. 4026,115 08. 7658,8 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236301",,KAA,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0062,18-Jun-25,20-Jun-25,Beau Taptuna,Heart Lake,malaise trap,67 48. 6794,115 13. 6875,40 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236305",,KAA,11,0,11,0,KGLTK0062_M_H,N/A,KGLTK0062_M_B,N/A,,
