Plate #,Sample
Plate_1,CBAY0242_M_H
Plate_1,CBAY0229_M_H
Plate_1,CBAY0244_BF_H
Plate_1,KGLTK0108_M_H
Plate_1,CBAY0229_BF_H
Plate_1,CBAY0194_M_H
Plate_1,CBAY0189_M_H
Plate_1,CBAY0249_M_H_KFS
Plate_1,EXC2
Plate_1,PCRC3
Plate_1,CBAY0225_M_H
Plate_1,CBAY0281_BF_H
Plate_1,CBAY0285_BF_H
Plate_1,KGLTK0126_BF_H
Plate_1,CBAY0293_BF_H
Plate_1,CBAY0216_M_H
Plate_1,CBAY0176_BF_H
Plate_1,KGLTK0131_BF_H
Plate_1,CBAY0227_M_H
Plate_1,KGLTK0069_M_H
Plate_1,CBAY0212_BF_H
Plate_1,CBAY00244_M_H
Plate_1,CBAY0233_M_H
Plate_1,CBAY0115_M_H
Plate_1,KGLTK0112_BF_H
Plate_1,CABY0145_M_H
Plate_1,CBAY0241_M_H
Plate_1,PCRC2
Plate_1,CBAY0292_M_H
Plate_1,CBAY0303_M_H
Plate_1,PCRC4
Plate_1,CBAY0273_M_H
Plate_1,CBAY0157_BF_H
Plate_1,CBAY0278_M_H
Plate_1,CBAY0106_M_H
Plate_1,CBAY0200_BF_H
Plate_1,CBAY0238_BF_H
Plate_1,EXC12
Plate_1,PCRC8
Plate_1,PCRC5
Plate_1,KGLTK0116_BF_H
Plate_1,KGLTK0140_BF_H
Plate_1,CBAY0098_M_H
Plate_1,CBAY0220_BF_H
Plate_1,KGLTK0101_M_H
Plate_1,PCRC1
Plate_1,CBAY0286_BF_H
Plate_1,CBAY0079_M_H
Plate_1,CBAY0280_M_H
Plate_1,KGLTK0111_BF_H
Plate_1,KGLTK0123_BF_H
Plate_1,CBAY0299_BF_H
Plate_1,CBAY_0247_M_H_KFS
Plate_1,KGLTK0127_M_H
Plate_1,CBAY0268_M_H
Plate_1,CBAY0204_M_H
Plate_1,CBAY0288_M_H
Plate_1,CBAY0167_M_H
Plate_1,CBAY0227_BF_H
Plate_1,CBAY0100_M_H
Plate_1,CBAY0223_M_H
Plate_1,CBAY0273_BF_H
Plate_1,CBAY0259_BF_H
Plate_1,CBAY_0250_M_H
Plate_1,CBAY0284_M_H
Plate_1,PCRC7
Plate_1,CBAY0232_BF_H
Plate_1,CBAY0247_BF_H
Plate_1,CBAY0235_BF_H
Plate_1,CBAY0279_BF_H
Plate_1,CBAY0269_M_H
Plate_1,KGLTK_0271_BF_H
Plate_1,CBAY0162_M_H
Plate_1,CBAY0202_M_H
Plate_1,PCRC6
Plate_1,CBAY0219_M_H
Plate_1,CBAY0108_M_H
Plate_1,KGLTK0143_BF_H
Plate_1,CBAY0196_M_H
Plate_1,CBAY0301_BF_H
Plate_1,KGLTK0182_BF_H
Plate_1,PCRC10
Plate_1,CBAY0201_M_H
Plate_1,KGLTK0277_M_H
Plate_1,KGLTK0110_M_H
Plate_1,CBAY0158_M_H
Plate_1,CBAY0237_BF_H
Plate_1,CBAY0099_BF_H
Plate_1,CBAY0107_M_H
Plate_1,KGLTK0012_BF_H
Plate_1,CBAY0241_BF_H
Plate_1,CBAY0165_BF_H
Plate_1,PCRC9
Plate_1,CBAY0182_BF_H
Plate_1,KGLTK0102_BF_H
Plate_1,CBAY0186_M_H
Plate_2,CBAY0248_M_H_KFS
Plate_2,CBAY0160_M_H
Plate_2,CBAY0233_BF_H
Plate_2,CBAY0263_BF_H
Plate_2,CBAY0243_BF_H
Plate_2,CBAY0214_M_H
Plate_2,CBAY0110_BF_H
Plate_2,CBAY0183_M_H
Plate_2,CBAY0220_M_H
Plate_2,KGLTK_0275_M_H
Plate_2,CBAY0084_BF_H
Plate_2,KGLTK0153_BF_H
Plate_2,KGLTK0102_M_H
Plate_2,KGLTK_0067_BF_H
Plate_2,CBAY0237_M_H
Plate_2,CBAY0226_M_H
Plate_2,CBAY0162_BF_H
Plate_2,CBAY0102_M_H
Plate_2,KGLTK_0272_M_H
Plate_2,CBAY0302_BF_H
Plate_2,PCRC13
Plate_2,CBAY0224_BF_H
Plate_2,CBAY0251_M_H
Plate_2,CBAY0141_M_H
Plate_2,KGLTK0278_BF_H
Plate_2,KGLTK_0059_M_H
Plate_2,PCRC15
Plate_2,KGLTK0103_M_H
Plate_2,CBAY0306_BF_H
Plate_2,CBAY0275_BF_H
Plate_2,PCRC17
Plate_2,CBAY0231_M_H
Plate_2,CBAY0164_BF_H
Plate_2,CBAY0136_BF_H
Plate_2,CBAY0293_M_H
Plate_2,CBAY0099_M_H
Plate_2,KGLTK0185_BF_H
Plate_2,CBAY0197_M_H
Plate_2,KGLTK_0146_BF_H
Plate_2,CBAY0114_M_H
Plate_2,KGLTK0109_M_H
Plate_2,CBAY0140_M_H
Plate_2,EXC10
Plate_2,CBAY0097_M_H
Plate_2,KGLTK_0276_M_H
Plate_2,CBAY0279_M_H
Plate_2,CBAY0294_BF_H
Plate_2,KGLTK0104_M_H
Plate_2,CBAY0189_BF_H
Plate_2,CBAY0264_BF_H
Plate_2,CBAY0160_M_H
Plate_2,KGLTK0279_M_H
Plate_2,KGLTK_0107_M_H
Plate_2,CBAY0267_M_H
Plate_2,CBAY0286_M_H
Plate_2,EXC3
Plate_2,CBAY0268_BF_H
Plate_2,CBAY0178_M_H
Plate_2,PCRC16
Plate_2,CBAY0222_BF_H
Plate_2,PCRC19
Plate_2,CBAY0166_BF_H
Plate_2,KGLTK_0060_M_H
Plate_2,CBAY0172_M_H
Plate_2,CBAY0193_M_H
Plate_2,CBAY0306_M_H
Plate_2,CBAY0224_M_H
Plate_2,KGLTK0070_M_H
Plate_2,CBAY0100_BF_H
Plate_2,CBAY0231_BF_H
Plate_2,CBAY0274_M_H
Plate_2,CBAY0169_BF_H
Plate_2,PCRC14
Plate_2,CBAY0225_BF_H
Plate_2,CBAY0300_M_H
Plate_2,CBAY0307_M_H
Plate_2,PCRC20
Plate_2,PCRC11
Plate_2,CBAY0210_BF_H
Plate_2,CBAY0156_M_H
Plate_2,KGLTK0278_M_H
Plate_2,CBAY0200_M_H
Plate_2,CBAY0308_BF_H
Plate_2,CBAY0158_BF_H
Plate_2,CBAY0182_M_H
Plate_2,CBAY0212_M_H
Plate_2,CBAY0132_BF_H
Plate_2,PCRC18
Plate_2,KGLTK0145_BF_H
Plate_2,KGLTK0117_BF_H
Plate_2,PCRC12
Plate_2,CBAY0294_M_H
Plate_2,KGLTK_0149_BF_H
Plate_2,CBAY0277_M_H
Plate_2,CBAY0104_BF_H
Plate_2,CBAY0193_BF_H
Plate_3,CBAY0164_M_H
Plate_3,CBAY0301_M_H
Plate_3,KGLTK0068_M_H
Plate_3,CBAY0219_BF_H
Plate_3,CBAY0289_M_H
Plate_3,CBAY0195_M_H
Plate_3,CBAY0309_M_H
Plate_3,CBAY0095_M_H
Plate_3,CBAY0296_BF_H
Plate_3,CBAY0228_M_H
Plate_3,PCRC26
Plate_3,KGLTK0277_BF_H
Plate_3,KGLTK0137_BF_H
Plate_3,CBAY0265_M_H
Plate_3,CBAY0267_BF_H
Plate_3,PCRC25
Plate_3,CBAY0232_M_H
Plate_3,CBAY0264_M_H
Plate_3,CBAY0198_M_H
Plate_3,CBAY0254_M_H
Plate_3,CBAY0181_M_H
Plate_3,CBAY0250_BF_H
Plate_3,EXC8
Plate_3,CBAY0209_M_H
Plate_3,EXC9
Plate_3,CBAY0308_M_H
Plate_3,CBAY0234_M_H
Plate_3,KGLTK0113_BF_H
Plate_3,CBAY0201_BF_H
Plate_3,CBAY0177_M_H
Plate_3,CBAY0206_BF_H
Plate_3,CBAY0184_BF_H
Plate_3,KGLTK_0271_M_H
Plate_3,CBAY0092_BF_H
Plate_3,CBAY0305_M_H
Plate_3,CBAY0169_M_H
Plate_3,CBAY0098_M_H
Plate_3,EXC4
Plate_3,CBAY0308_M_H
Plate_3,CBAY0099_BF_H
Plate_3,CBAY0242_BF_H
Plate_3,CBAY0155_M_H
Plate_3,CBAY0284_BF_H
Plate_3,KGLTK0098_M_H
Plate_3,CBAY0222_M_H
Plate_3,KGLTK_0056_M_H
Plate_3,CBAY0259_M_H
Plate_3,CBAY0175_M_H
Plate_3,CBAY0277_BF_H
Plate_3,PCRC22
Plate_3,PCRC30
Plate_3,CBAY0295_M_H
Plate_3,PCRC29
Plate_3,EXC1
Plate_3,PCRC27
Plate_3,CBAY0210_M_H
Plate_3,KGLTK0067_M_H
Plate_3,EXC6
Plate_3,KGLTK_0131_M_H
Plate_3,CBAY0106_BF_H
Plate_3,CBAY0084_M_H
Plate_3,CBAY0202_BF_H
Plate_3,CBAY0157_M_H
Plate_3,CBAY0263_M_H
Plate_3,CBAY0300_BF_H
Plate_3,CBAY0245_M_H_KFS
Plate_3,PCRC28
Plate_3,CBAY0092_M_H
Plate_3,PCRC23
Plate_3,CBAY0191_M_H
Plate_3,CBAY0123_M_H
Plate_3,PCRC21
Plate_3,CBAY0230_BF_H
Plate_3,CBAY0207_BF_H
Plate_3,CBAY0136_M_H
Plate_3,CBAY0297_BF_H
Plate_3,KGLTK0151_BF_H
Plate_3,KGLTK0119_M_H
Plate_3,CBAY0285_M_H
Plate_3,CBAY0254_BF_H
Plate_3,CBAY0305_BF_H
Plate_3,KGLTK0103_BF_H
Plate_3,KGLTK0118_BF_H
Plate_3,CBAY0297_M_H
Plate_3,CBAY0098_BF_H
Plate_3,CBAY0235_M_H
Plate_3,CBAY0108_BF_H
Plate_3,CBAY0187_M_H
Plate_3,PCRC24
Plate_3,CBAY0309_BF_H
Plate_3,CBAY0275_M_H
Plate_3,CBAY0213_M_H
Plate_3,CBAY0203_BF_H
Plate_3,CBAY0230_M_H
Plate_3,CBAY0250_BF_H
Plate_3,CBAY0075_BF_H
Plate_4,PCRC33
Plate_4,EXC13
Plate_4,KGLTK0097_M_H
Plate_4,CBAY0248_BF_H_KFS
Plate_4,KGLTK0134_M_H
Plate_4,CBAY0096_M_H
Plate_4,PCRC40
Plate_4,CBAY0246_M_H_KFS
Plate_4,CBAY0206_M_H
Plate_4,CBAY0091_M_H
Plate_4,CBAY0147_BF_H
Plate_4,KGLTK0112_M_H
Plate_4,CBAY0174_M_H
Plate_4,KGLTK_0062_M_H
Plate_4,CBAY0171_BF_H
Plate_4,PCRC36
Plate_4,CBAY0095_BF_H
Plate_4,CBAY0295_BF_H
Plate_4,CBAY0207_M_H
Plate_4,CBAY0260_M_H_KFS
Plate_4,CBAY0203_M_H
Plate_4,PCRC38
Plate_4,CBAY0173_BF_H
Plate_4,CBAY0278_BF_H
Plate_4,CBAY0281_M_H
Plate_4,CBAY0103_BF_H
Plate_4,CBAY0234_BF_H
Plate_4,CBAY_0205_M_H
Plate_4,PCRC37
Plate_4,CBAY0103_M_H
Plate_4,CBAY0260_BF_H_KFS
Plate_4,CBAY0147_M_H
Plate_4,PCRC35
Plate_4,KGLTK0107_BF_H
Plate_4,CBAY0253_BF_H
Plate_4,CBAY0307_BF_H
Plate_4,CBAY0296_M_H
Plate_4,CBAY0107_BF_H
Plate_4,CBAY0115_BF_H
Plate_4,CBAY0211_M_H
Plate_4,CBAY0206_BF_H
Plate_4,CBAY0265_BF_H
Plate_4,EXC5
Plate_4,PCRC39
Plate_4,PCRC32
Plate_4,PCRC34
Plate_4,KGLTK0147_BF_H
Plate_4,KGLTK0279_BF_H
Plate_4,CBAY0246_BF_H
Plate_4,CBAY0304_M_H
Plate_4,KGLTK0117_M_H
Plate_4,EXC7
Plate_4,CBAY0251_BF_H
Plate_4,EXC11
Plate_4,CBAY0114_BF_H
Plate_4,KGLTK_0100_M_H
Plate_4,CBAY0104_M_H
Plate_4,PCRC31
