Sample,Extraction Control #,Lysis date,Extraction date,Qubit value,Lysis notes,Extraction notes,General notes
CBAY0250_M_H,12,23-Feb-26,26-Feb-26,0.639,,,
CBAY0075_BF_H,1,22-Jan-26,30-Jan-26,39.9,,,
CBAY0079_M_H,5,28-Jan-26,10-Feb-26,0.358,,,
CBAY0084_BF_H,5,28-Jan-26,10-Feb-26,1.93,,Lid broke transfered to new 200 ul tube,
CBAY0084_M_H,5,28-Jan-26,10-Feb-26,1.25,,,
CBAY0091_M_H,5,28-Jan-26,10-Feb-26,0.526,,,
CBAY0092_BF_H,5,28-Jan-26,10-Feb-26,0.898,,,
CBAY0092_M_H,1,22-Jan-26,30-Jan-26,34.5,,,ended up using other standards from EXC2 and 3
CBAY0095_BF_H,5,28-Jan-26,10-Feb-26,0.857,,,
CBAY0095_M_H,6,02-Feb-26,11-Feb-26,21.6,,,
CBAY0096_M_H,5,28-Jan-26,10-Feb-26,4.77,,,
CBAY0097_M_H,5,28-Jan-26,10-Feb-26,6.6,,,
CBAY0098_BF_H,5,28-Jan-26,10-Feb-26,1.18,,,
CBAY0098_M_H,5,28-Jan-26,10-Feb-26,0.654,,,
CBAY0098_M_H,6,02-Feb-26,11-Feb-26,0.884,,,
CBAY0099_BF_H,5,28-Jan-26,10-Feb-26,5.18,,,
CBAY0099_BF_H,8,03-Feb-26,13-Feb-26,0.274,lost 1 head in transfer falcon and returned,,
CBAY0099_M_H,6,02-Feb-26,11-Feb-26,24.6,,,
CBAY0100_BF_H,5,28-Jan-26,10-Feb-26,0.541,,,
CBAY0100_M_H,5,28-Jan-26,10-Feb-26,0.694,,,
CBAY0102_M_H,5,28-Jan-26,10-Feb-26,0.419,,,
CBAY0103_BF_H,5,28-Jan-26,10-Feb-26,0.723,,,
CBAY0103_M_H,5,28-Jan-26,10-Feb-26,2.82,,,
CBAY0104_BF_H,5,28-Jan-26,10-Feb-26,24.7,,,
CBAY0104_M_H,5,28-Jan-26,10-Feb-26,17.3,,,
CBAY0106_BF_H,2,23-Jan-26,30-Jan-26,2.42,,,
CBAY0106_M_H,7,02-Feb-26,11-Feb-26,2.02,label wrong on tube but 100% Mos Heads,,"weirdly ran out of buffer for last two, did 180:20 method"
CBAY0107_BF_H,1,22-Jan-26,30-Jan-26,18.4,,,
CBAY0107_M_H,2,23-Jan-26,30-Jan-26,1.08,,,
CBAY0108_BF_H,12,23-Feb-26,26-Feb-26,0.417,,accidentally eluted 200 ul at first,spun down again
CBAY0108_M_H,7,02-Feb-26,11-Feb-26,1.83,,,
CBAY0110_BF_H,13,,,,,,
CBAY0114_BF_H,5,28-Jan-26,10-Feb-26,0.203,,Lid broke transfered to new 200 ul tube,
CBAY0114_M_H,4,28-Jan-26,10-Feb-26,0.285,,,
CBAY0115_BF_H,6,02-Feb-26,11-Feb-26,2.12,,,
CBAY0115_M_H,4,28-Jan-26,10-Feb-26,3.22,,,
CBAY0123_M_H,2,23-Jan-26,30-Jan-26,0.188,,,
CBAY0132_BF_H,4,28-Jan-26,10-Feb-26,0.276,,,200ul in each
CBAY0136_BF_H,6,02-Feb-26,11-Feb-26,0.82,,,
CBAY0136_M_H,7,02-Feb-26,11-Feb-26,0.438,,,
CBAY0140_M_H,12,23-Feb-26,26-Feb-26,0.327,,,same standards as #9
CBAY0141_M_H,13,,,,,,
CBAY0145_M_H,13,,,,,,
CBAY0147_BF_H,4,28-Jan-26,10-Feb-26,1.13,,,
CBAY0147_M_H,4,28-Jan-26,10-Feb-26,0.326,,used Aw2 from oct 2023,
CBAY0155_M_H,5,28-Jan-26,10-Feb-26,0.448,,,Accidentally put of for a ~10 secs at 20 000g when eluting first half of samples
CBAY0156_M_H,4,28-Jan-26,10-Feb-26,1.45,,used same Aw2 as other extractions,Extractions with AW2 sat for a while with AW2 in column while ETOH for new AW2 UVed (10-15mins)
CBAY0157_BF_H,6,02-Feb-26,11-Feb-26,4.64,,,
CBAY0157_M_H,2,23-Jan-26,30-Jan-26,1.67,,,
CBAY0158_BF_H,13,,,,,,
CBAY0158_M_H,13,,,,,,
CBAY0160_M_H,4,28-Jan-26,10-Feb-26,0.933,,,
CBAY0160_M_H,13,,,,,,
CBAY0162_BF_H,12,23-Feb-26,26-Feb-26,0.622,some heads were lost during transferring,one of the heads went into the waste tube,
CBAY0162_M_H,7,02-Feb-26,11-Feb-26,0.411,,,had to remove St 2
CBAY0164_BF_H,2,23-Jan-26,30-Jan-26,0.931,,spin column opened in centrifuge,
CBAY0164_M_H,1,22-Jan-26,30-Jan-26,23.2,,,
CBAY0165_BF_H,13,,,,,,
CBAY0166_BF_H,3,27-Jan-26,09-Feb-26,0.706,,,May here not added the right amount of prok was low and added 250 ul and second 250 ul wasnt really full but added more after because was bubbly (EXC is just ILB)
CBAY0167_M_H,12,23-Feb-26,26-Feb-26,3.69,,,
CBAY0169_BF_H,4,28-Jan-26,10-Feb-26,0.679,,,
CBAY0169_M_H,5,28-Jan-26,10-Feb-26,0.348,,Lid broke transfered to new 200 ul tube,200 ul in each
CBAY0171_BF_H,3,27-Jan-26,09-Feb-26,0.249,,,
CBAY0172_M_H,5,28-Jan-26,10-Feb-26,0.25,,,"In at 5:45, out at 4:05 on Jan 29"
CBAY0173_BF_H,2,23-Jan-26,30-Jan-26,1.33,,,
CBAY0174_M_H,4,28-Jan-26,10-Feb-26,0.283,,used new AW2,
CBAY0175_M_H,7,02-Feb-26,11-Feb-26,0.695,,,
CBAY0176_BF_H,3,27-Jan-26,09-Feb-26,0.397,,,Out at 3:30 next day
CBAY0177_M_H,12,23-Feb-26,26-Feb-26,0.86,,,
CBAY0178_M_H,3,27-Jan-26,09-Feb-26,1.56,,,Went into incubator at 3:15pm on 27th
CBAY0181_M_H,3,27-Jan-26,09-Feb-26,1.56,,,
CBAY0182_BF_H,2,23-Jan-26,30-Jan-26,1.32,,,
CBAY0182_M_H,2,23-Jan-26,30-Jan-26,5.56,,,
CBAY0183_M_H,7,02-Feb-26,11-Feb-26,0.542,,,
CBAY0184_BF_H,5,28-Jan-26,10-Feb-26,0.188,,,
CBAY0186_M_H,12,23-Feb-26,26-Feb-26,0.809,,,
CBAY0187_M_H,2,23-Jan-26,30-Jan-26,1.51,,,
CBAY0189_BF_H,8,03-Feb-26,13-Feb-26,0.299,heads not squished very well so resquished and added to incubator for ~1.5 hours,,
CBAY0189_M_H,3,27-Jan-26,09-Feb-26,1.05,Fell onto rack,,
CBAY0191_M_H,3,27-Jan-26,09-Feb-26,0.401,,,
CBAY0193_BF_H,2,23-Jan-26,30-Jan-26,0.365,seemed like it had a strange amount of buffer so this was removed and replaced (this was added in at 2:40 pm),,
CBAY0193_M_H,8,03-Feb-26,13-Feb-26,1.77,,,
CBAY0194_M_H,7,02-Feb-26,11-Feb-26,0.335,,,
CBAY0195_M_H,13,,,,may have been contamined from pour back,,
CBAY0196_M_H,7,02-Feb-26,11-Feb-26,7.04,,,
CBAY0197_M_H,7,02-Feb-26,11-Feb-26,1.28,,,
CBAY0198_M_H,4,28-Jan-26,10-Feb-26,5.32,,,
CBAY0200_BF_H,2,23-Jan-26,30-Jan-26,0.595,,,"Put into incubator at ~2:00pm Jan 23, 2026 "
CBAY0200_M_H,13,,,,"all these large samples may have lost a head, some were put back",,
CBAY0201_BF_H,8,03-Feb-26,13-Feb-26,0.745,,,
CBAY0201_M_H,12,23-Feb-26,26-Feb-26,5.87,,,
CBAY0202_BF_H,6,02-Feb-26,11-Feb-26,1.84,,,
CBAY0202_M_H,1,22-Jan-26,30-Jan-26,48.7,,,
CBAY0203_BF_H,7,02-Feb-26,11-Feb-26,0.568,,,
CBAY0203_M_H,7,02-Feb-26,11-Feb-26,2.48,,,
CBAY0204_M_H,1,22-Jan-26,30-Jan-26,21.8,,,
CBAY0205_M_H,12,23-Feb-26,26-Feb-26,too low out of range,,,
CBAY0206_BF_H,2,23-Jan-26,30-Jan-26,0.147,,,
CBAY0206_BF_H,7,02-Feb-26,11-Feb-26,too low out of range,found lysate on ground but after extraction,,
CBAY0206_M_H,7,02-Feb-26,11-Feb-26,1.27,,,
CBAY0207_BF_H,1,22-Jan-26,30-Jan-26,14.3,,,
CBAY0207_M_H,7,02-Feb-26,11-Feb-26,0.992,,,
CBAY0209_M_H,7,02-Feb-26,11-Feb-26,3.08,,,
CBAY0210_BF_H,2,23-Jan-26,30-Jan-26,0.725,,,
CBAY0210_M_H,1,22-Jan-26,30-Jan-26,20.9,,,
CBAY0211_M_H,12,23-Feb-26,26-Feb-26,2.41,,,
CBAY0212_BF_H,13,,,,,,
CBAY0212_M_H,13,,,,,,
