taxon,Kug,CbB
Gymnopais dichopticoides,0,0
Gymnopais dichopticus,0,0
Gymnopais fimbriatus,0,0
Gymnopais holopticoides,1,1
Gymnopais holopticus,0,0
Twinnia tibblesi,0,0
Helodon onychodactylus,0,0
Helodon pleuralis,0,0
Helodon decemarticulatus,0,0
Helodon gibsoni,0,0
Helodon alpestris,0,0
Helodon irkutensis,0,1
Prosimulium fuscum,0,0
Prosimulium neomacropyga,0,0
Prosimulium travisi,0,0
Prosimulium esselbaughi,0,0
Prosimulium mixtum,0,0
Prosimulium ursinum,1,0
Stegopterna emergens,1,1
Stegopterna sp,1,0
Stegopterna mutata,0,0
Stegopterna decafilis,0,0
Tlalocomyia osbourni,0,0
Cnephia dacotensis,0,0
Cnephia eremites,1,1
Cnephia ornithophilia,0,0
Ectemnia taeniatifrons,0,0
Metacnephia borealis,1,1
Metacnephia bilineata,1,0
Metacnephia saskatchewana,0,0
Metacnephia sommermanae,0,0
Simulium (Hellichiella) spp.,0,0
Simulium excisum,0,0
Simulium annulus,1,0
Simulium baffinense,1,1
Simulium (Eusimulium) spp.,0,0
Simulium bicorne,0,0
Simulium craigi,0,1
Simulium croxtoni,0,0
Simulium fontinale,0,0
Simulium silvestre,1,1
Simulium furculatum,1,0
Simulium subpusillum,1,1
Simulium vittatum,1,0
Simulium pictipes,0,0
Simulium luggeri,0,0
Simulium arcticum complex,1,0
Simulium decimatum,1,0
Simulium malyschevi,1,0
Simulium murmanum,0,0
Simulium decorum,0,0
Simulium noelleri,0,0
Simulium rugglesi,0,0
Simulium tuberosum,1,1
Simulium vulgare,1,1
Simulium venustum complex,1,1
Simulium verecundum complex,0,1
Anopheles earlei,0,0
Aedes abserratus,0,0
Aedes atropalpus,0,0
Aedes campestris,0,0
Aedes canadensis,0,0
Aedes canator,0,0
Aedes cinereus,0,0
Aedes communis,0,0
Aedes decticus,0,0
Aedes diantaeus,0,0
Aedes euedes,0,0
Aedes excrucians,0,0
Aedes fitchii,0,0
Aedes flavescens,0,0
Aedes hexodontus,1,1
Aedes impiger,1,1
Aedes implicatus,0,0
Aedes intrudens,0,0
Aedes mercurator,0,0
Aedes nigripes,1,1
Aedes pionips,0,0
Aedes pullatus,0,0
Aedes punctor,0,0
Aedes riparius,0,0
Aedes strictus,0,0
Aedes vexans,0,0
Culex restuans,0,0
Culex territans,0,0
Culiseta alaskaensis,1,0
Culiseta impatiens,0,0
Culiseta incidens,0,0
Culiseta inornata,0,0
Culiseta morsitans,0,0
Mansonia pertubans,0,0
Wyomyea smithii,0,0
