"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-01","1973","01","01","","-25.6","","-32.8","","-29.2","","47.2","","0.0","","0.0","","0.0","T","0.0","T","15","","32","","51",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-02","1973","01","02","","-27.2","","-38.3","","-32.8","","50.8","","0.0","","0.0","","0.8","","0.5","","15","","32","","64",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-03","1973","01","03","","-30.0","","-35.6","","-32.8","","50.8","","0.0","","0.0","","0.0","T","0.0","T","15","","27","","42",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-04","1973","01","04","","-31.1","","-36.1","","-33.6","","51.6","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-05","1973","01","05","","-23.3","","-35.6","","-29.5","","47.5","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-06","1973","01","06","","-13.9","","-24.4","","-19.2","","37.2","","0.0","","0.0","","0.0","T","0.0","T","15","","25","","58",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-07","1973","01","07","","-12.8","","-20.0","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","15","","32","","93",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-08","1973","01","08","","-19.4","","-30.0","","-24.7","","42.7","","0.0","","0.0","","0.0","T","0.0","T","15","","32","","72",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-09","1973","01","09","","-20.0","","-29.4","","-24.7","","42.7","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-10","1973","01","10","","-17.2","","-23.9","","-20.6","","38.6","","0.0","","0.0","","0.5","","0.5","","15","","29","","61",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-11","1973","01","11","","-19.4","","-36.7","","-28.1","","46.1","","0.0","","0.0","","0.3","","0.3","","15","","32","","68",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-12","1973","01","12","","-35.0","","-40.6","","-37.8","","55.8","","0.0","","0.0","","0.0","T","0.0","T","15","","29","","39",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-13","1973","01","13","","-38.9","","-41.1","","-40.0","","58.0","","0.0","","0.0","","0.0","T","0.0","T","15","","29","","42",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-14","1973","01","14","","-37.2","","-43.9","","-40.6","","58.6","","0.0","","0.0","","0.0","T","0.0","T","15","","27","","32",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-15","1973","01","15","","-33.9","","-39.4","","-36.7","","54.7","","0.0","","0.0","","0.0","T","0.0","T","15","","29","","68",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1973-01-16","1973","01","16","","-38.3","","-40.0","","-39.2","","57.2","","0.0","","0.0","","0.0","T","0.0","T","15","","27","","42",""
