"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-01","1989","01","01","","-25.5","","-30.1","","-27.8","","45.8","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-02","1989","01","02","","-26.6","","-32.9","","-29.8","","47.8","","0.0","","0.0","","0.0","T","0.0","T","10","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-03","1989","01","03","","-32.0","","-36.6","","-34.3","","52.3","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-04","1989","01","04","","-32.9","","-38.2","","-35.6","","53.6","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-05","1989","01","05","","-36.6","","-40.0","","-38.3","","56.3","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-06","1989","01","06","","-35.7","","-40.0","","-37.9","","55.9","","0.0","","0.0","","0.0","T","0.0","T","11","","30","","33","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-07","1989","01","07","","-33.4","","-37.0","","-35.2","","53.2","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-08","1989","01","08","","-31.9","","-38.5","","-35.2","","53.2","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-09","1989","01","09","","-32.0","","-38.7","","-35.4","","53.4","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-10","1989","01","10","","-24.0","","-33.8","","-28.9","","46.9","","0.0","","0.0","","0.4","","0.2","","11","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-11","1989","01","11","","-22.7","","-32.7","","-27.7","","45.7","","0.0","","0.0","","0.2","","0.0","T","12","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-12","1989","01","12","","-20.4","","-32.0","","-26.2","","44.2","","0.0","","0.0","","1.2","","0.2","","12","","14","","39","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-13","1989","01","13","","-20.2","","-32.8","","-26.5","","44.5","","0.0","","0.0","","3.2","","1.0","","13","","1","","67","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-14","1989","01","14","","-32.6","","-40.5","","-36.6","","54.6","","0.0","","0.0","T","0.0","T","0.0","T","16","","33","","52","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","1989-01-15","1989","01","15","","-38.1","","-41.2","","-39.7","","57.7","","0.0","","0.0","","0.0","T","0.0","T","16","","","","<31",""
