"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","2003-01-01","2003","01","01","","-17.4","","-33.2","","-25.3","","43.3","","0.0","","0.0","","1.0","","0.8","","22","","12","E","54","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","2003-01-02","2003","01","02","","-15.9","","-31.9","","-23.9","","41.9","","0.0","","0.0","","2.6","","2.6","","25","","27","E","37","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","2003-01-03","2003","01","03","","-31.0","","-37.3","","-34.2","","52.2","","0.0","","0.0","","0.0","","0.0","","25","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","2003-01-04","2003","01","04","","-22.1","","-39.3","","-30.7","","48.7","","0.0","","0.0","","0.0","","0.0","","18","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","2003-01-05","2003","01","05","","-11.3","","-29.9","","-20.6","","38.6","","0.0","","0.0","","3.6","","3.2","","18","","13","E","50","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","2003-01-06","2003","01","06","","-8.3","","-15.8","","-12.1","","30.1","","0.0","","0.0","T","1.6","","1.2","","20","","30","E","43","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","2003-01-07","2003","01","07","","-14.0","","-18.4","","-16.2","","34.2","","0.0","","0.0","","0.8","","0.6","","21","","","","<31",""
"-105.14","69.11","CAMBRIDGE BAY A","2400600","2003-01-08","2003","01","08","","-15.4","","-22.7","","-19.1","","37.1","","0.0","","0.0","","0.2","","0.2","","22","","34","E","48","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","2003-01-09","2003","01","09","","-22.7","","-27.3","","-25.0","","43.0","","0.0","","0.0","","0.0","T","0.0","T","22","","34","E","56","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","2003-01-10","2003","01","10","","-26.6","","-32.9","","-29.8","","47.8","","0.0","","0.0","","0.0","T","0.0","T","21","","33","E","44","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","2003-01-11","2003","01","11","","-29.6","","-33.1","","-31.4","","49.4","","0.0","","0.0","","0.0","T","0.0","T","24","","32","E","43","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","2003-01-12","2003","01","12","","-19.9","","-30.6","","-25.3","","43.3","","0.0","","0.0","","0.0","T","0.0","T","24","","35","E","59","E"
"-105.14","69.11","CAMBRIDGE BAY A","2400600","2003-01-13","2003","01","13","","-17.6","","-24.8","","-21.2","","39.2","","0.0","","0.0","","0.0","","0.0","","24","","33","E","63","E"
