"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-01","2022","01","01","","-24.0","","-29.6","","-26.8","","44.8","","0.0","","","M","","M","","M","21","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-02","2022","01","02","","-24.7","","-31.5","","-28.1","","46.1","","0.0","","0.0","","0.0","T","0.0","T","21","","2","","39",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-03","2022","01","03","","-26.5","","-31.5","","-29.0","","47.0","","0.0","","0.0","","0.0","T","0.0","T","21","","34","","52",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-04","2022","01","04","","-31.2","","-37.7","","-34.5","","52.5","","0.0","","0.0","","0.0","T","0.0","T","21","","30","","36",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-05","2022","01","05","","-20.4","","-31.5","","-26.0","","44.0","","0.0","","0.0","","0.0","T","0.0","T","21","","26","","57",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-06","2022","01","06","","-18.7","","-26.0","","-22.4","","40.4","","0.0","","","M","","M","","M","21","","25","","44",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-07","2022","01","07","","-25.1","","-33.3","","-29.2","","47.2","","0.0","","0.0","","0.0","T","0.0","T","21","","","M","","M"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-08","2022","01","08","","-30.7","","-36.7","","-33.7","","51.7","","0.0","","0.0","","0.0","T","0.0","T","21","","2","","32",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-09","2022","01","09","","-28.2","","-36.9","","-32.6","","50.6","","0.0","","0.0","","0.0","T","0.0","T","22","","31","","40",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-10","2022","01","10","","-27.9","","-34.6","","-31.3","","49.3","","0.0","","0.0","","0.0","T","0.0","T","22","","28","","44",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-11","2022","01","11","","-29.9","","-34.9","","-32.4","","50.4","","0.0","","0.0","","0.0","T","0.0","T","22","","31","","69",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-12","2022","01","12","","-30.0","","-34.3","","-32.2","","50.2","","0.0","","0.0","","0.0","T","0.0","T","22","","31","","55",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-13","2022","01","13","","-23.8","","-29.9","","-26.9","","44.9","","0.0","","0.0","","0.0","T","0.0","T","22","E","31","","38",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-14","2022","01","14","","-29.4","","-36.6","","-33.0","","51.0","","0.0","","0.0","","0.0","T","0.0","T","22","","28","","36",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-15","2022","01","15","","-29.8","","-36.1","","-33.0","","51.0","","0.0","","0.0","","0.0","T","0.0","T","22","","33","","40",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-16","2022","01","16","","-31.4","","-36.0","","-33.7","","51.7","","0.0","","0.0","","0.0","T","0.0","T","23","","33","","38",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-17","2022","01","17","","-24.2","","-33.8","","-29.0","","47.0","","0.0","","0.0","","0.0","T","0.0","T","23","","33","","55",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-18","2022","01","18","","-23.0","","-28.7","","-25.9","","43.9","","0.0","","0.0","","0.0","T","0.0","T","23","","35","","51",""
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-01-19","2022","01","19","","-26.6","","-33.0","","-29.8","","47.8","","0.0","","0.0","","0.0","T","0.0","T","23","","","M","","M"
